STRUCTURE_NUMBER_008,YEAR_BUILT_027,Material Used,DeckRating_of_Year_2007,DeckRating_of_Year_2008,DeckRating_of_Year_2009,DeckRating_of_Year_2010,DeckRating_of_Year_2011,DeckRating_of_Year_2012,DeckRating_of_Year_2013,DeckRating_of_Year_2014,DeckRating_of_Year_2015,DeckRating_of_Year_2016,DeckRating_of_Year_2017,DeckRating_of_Year_2018,DeckRating_of_Year_2019,DeckRating_of_Year_2020,DeckRating_of_Year_2021
657,1980,Prestressed Concrete,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8
658,1979,Steel,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7
659,1954,Wood or Timber,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
660,1951,Wood or Timber,5,5,5,5,5,5,5,5,5,7,7,7,7,7,7
663,2016,Prestressed Concrete,8,8,8,8,8,8,8,8,8,7,9,9,9,9,9
668,1965,Steel,4,4,4,4,7,7,7,7,7,7,7,7,7,7,7
669,1965,Steel Continuous,4,4,4,4,7,7,7,7,7,7,7,7,7,7,7
670,1966,Steel Continuous,4,4,4,4,7,7,7,7,7,7,7,7,7,7,7
671,2007,Steel Continuous,4,9,9,9,9,8,8,8,8,8,8,8,8,8,8
672,1993,Prestressed Concrete,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
674,1955,Steel,5,6,6,6,6,6,6,6,6,7,7,7,7,7,7
675,1965,Steel,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
676,1965,Steel,8,8,8,8,8,8,7,7,7,7,7,7,7,7,7
678,1958,Steel,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4
681,1951,Steel,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
683,1954,Steel,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6
684,1955,Steel,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
685,1986,Prestressed Concrete,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
686,1957,Steel,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6
687,1956,Steel,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
688,1985,Prestressed Concrete Continuous,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
689,1955,Steel,5,5,5,5,5,5,5,5,5,6,6,6,6,7,7
690,2016,Prestressed Concrete,5,5,5,5,5,5,5,5,5,5,9,9,9,9,9
693,1973,Steel,6,6,5,5,6,6,6,6,6,6,6,6,6,6,6
695,2015,Prestressed Concrete,5,5,5,5,5,5,5,5,5,9,9,9,9,9,9
697,1971,Steel,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5
699,1993,Prestressed Concrete,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
700,1973,Prestressed Concrete,8,8,8,8,8,8,8,8,8,8,8,7,7,7,7
718,1967,Steel,7,7,7,7,7,7,7,7,7,7,6,6,6,6,6
722,1965,Steel,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
724,1944,Steel,7,6,6,6,6,6,6,6,6,7,7,7,7,7,7
725,1957,Concrete,7,7,7,5,5,4,4,4,4,4,4,4,4,4,4
726,1957,Steel,7,7,7,6,6,6,6,6,6,6,6,6,6,7,7
732,1972,Prestressed Concrete,7,7,7,7,7,7,7,7,7,6,6,6,6,7,7
734,1986,Prestressed Concrete,8,8,8,8,8,8,8,8,8,8,8,7,7,7,7
735,1959,Steel Continuous,6,6,6,6,6,6,6,7,7,7,7,6,6,6,6
736,1959,Steel,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7
737,2015,Prestressed Concrete,5,5,5,5,5,5,5,7,9,9,9,8,8,8,8
740,1981,Prestressed Concrete Continuous,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
742,1958,Steel,6,6,5,5,5,5,5,5,5,5,6,6,6,6,7
743,1999,Prestressed Concrete,8,8,8,8,8,8,8,8,7,7,7,7,8,8,8
744,1991,Prestressed Concrete,9,9,9,9,9,9,7,7,7,7,7,7,7,7,7
745,1991,Prestressed Concrete,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8
746,1989,Prestressed Concrete,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
747,1975,Prestressed Concrete,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
749,1973,Prestressed Concrete,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
787,1989,Prestressed Concrete,8,8,8,8,8,8,8,8,8,8,8,7,7,7,7
793,1982,Prestressed Concrete,8,8,8,8,8,8,8,8,8,8,8,8,8,7,7
797,1955,Prestressed Concrete,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
799,1980,Wood or Timber,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8
800,1988,Steel,8,8,7,7,7,7,7,7,7,7,7,7,7,7,7
801,1987,Steel,8,8,6,6,6,6,6,6,6,6,6,6,6,6,6
802,1986,Steel,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6
803,1989,Steel,8,8,6,6,6,6,6,6,6,6,6,6,6,6,6
804,1984,Steel,8,8,6,6,6,6,6,6,6,6,6,6,6,6,6
806,1988,Steel,8,8,7,7,7,7,7,7,7,7,7,7,7,7,7
810,1990,Prestressed Concrete,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
811,1994,Steel,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
812,1938,Steel,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
815,1938,Steel,5,5,5,5,5,5,8,8,8,8,8,8,8,8,8
816,1967,Steel,8,8,8,8,8,8,8,8,8,8,7,7,7,7,7
819,1975,Wood or Timber,6,6,6,6,6,6,6,6,6,6,8,8,8,8,8
820,1967,Steel,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
821,1967,Steel,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
822,1967,Steel,8,8,7,7,7,7,7,7,7,7,7,7,7,7,7
823,1967,Steel,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
825,1983,Wood or Timber,9,9,9,9,9,9,9,9,8,8,8,8,8,8,8
826,1971,Steel,7,7,7,7,7,7,7,7,7,7,5,5,5,5,6
827,1971,Steel,8,8,8,8,8,8,8,8,8,8,6,6,6,6,6
828,1971,Steel,8,8,8,8,8,8,8,8,8,8,7,7,7,7,7
829,1971,Steel,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
831,1971,Steel,8,8,8,8,8,8,8,8,8,8,8,8,8,8,7
832,1971,Steel,8,8,8,8,8,8,8,8,8,8,7,7,7,7,7
833,1978,Wood or Timber,7,7,8,8,8,8,8,8,8,8,7,7,7,7,7
838,2007,Prestressed Concrete,6,9,9,9,9,9,8,8,8,8,8,8,8,8,8
839,1977,Prestressed Concrete,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
840,1988,Prestressed Concrete,7,7,7,7,7,7,7,8,8,7,7,7,7,7,7
841,1988,Prestressed Concrete,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
842,1988,Prestressed Concrete,7,7,7,7,7,7,7,7,7,7,7,7,7,8,8
844,1936,Steel,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
851,1965,Steel,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
852,1965,Steel,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
853,1972,Prestressed Concrete,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7
854,1973,Prestressed Concrete,5,8,8,8,8,8,8,8,8,8,8,8,8,8,8
855,1989,Prestressed Concrete,5,8,8,8,8,8,8,8,8,8,8,8,8,8,8
857,1971,Steel Continuous,6,6,5,5,5,5,5,5,6,6,6,6,6,6,6
858,1968,Steel Continuous,5,5,5,5,5,5,5,6,6,6,6,5,5,6,6
864,2017,Prestressed Concrete,5,5,5,4,4,4,4,4,4,4,4,9,9,9,9
865,2007,Prestressed Concrete,5,9,9,9,9,9,9,8,8,8,8,8,8,7,7
868,1967,Steel,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
870,1981,Prestressed Concrete,8,8,8,8,8,8,8,8,8,8,8,7,7,7,7
873,1968,Concrete,7,7,7,7,7,7,7,8,8,8,8,8,8,7,7
881,2013,Prestressed Concrete,6,6,6,6,5,5,5,9,9,9,9,9,9,9,9
888,1991,Prestressed Concrete,5,6,6,6,6,6,6,7,7,6,6,6,6,7,7
893,1941,Steel,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
910,1949,Steel,5,8,8,8,8,7,7,6,6,6,6,6,6,6,6
915,2015,Steel,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8
940,1987,Prestressed Concrete,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
944,1970,Steel,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
959,1974,Prestressed Concrete,5,5,5,5,5,5,5,7,7,7,7,7,7,6,6
960,1996,Prestressed Concrete,8,8,8,7,7,7,7,7,7,7,7,7,7,7,7
969,1966,Concrete continuous,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
970,1979,Prestressed Concrete,7,7,7,7,7,7,7,7,7,7,7,6,6,6,6
971,2003,Prestressed Concrete,9,9,9,9,9,9,9,8,8,8,8,7,7,7,7
972,2012,Prestressed Concrete,6,6,6,6,6,6,9,9,9,9,9,8,8,7,7
978,1969,Steel,6,7,7,7,7,7,6,6,6,6,6,7,7,7,7
979,1987,Steel,5,4,4,4,4,4,4,4,4,4,4,5,5,5,5
983,1974,Prestressed Concrete,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
986,1995,Prestressed Concrete,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
987,1980,Prestressed Concrete,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
988,1960,Concrete continuous,5,5,5,5,4,4,4,4,5,5,5,5,5,5,5
989,1980,Prestressed Concrete,7,7,8,8,8,8,8,8,6,6,6,6,6,6,6
990,1980,Prestressed Concrete,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
992,1980,Prestressed Concrete,7,7,7,7,7,7,7,7,7,7,6,6,6,6,6
997,1956,Prestressed Concrete,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7
999,1967,Steel,5,5,5,5,5,5,5,5,5,5,5,5,5,7,7
1001,1967,Steel,6,6,6,6,6,6,6,6,6,5,5,6,6,6,6
1006,1996,Steel,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
1008,1967,Steel,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7
1009,1975,Wood or Timber,6,6,6,6,6,6,6,6,6,6,6,6,6,6,8
1017,1979,Wood or Timber,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
1018,1985,Steel,7,6,6,6,6,6,6,6,6,6,6,6,6,7,7
1020,1958,Wood or Timber,5,6,6,6,6,6,6,6,6,5,5,5,5,5,5
1021,1959,Wood or Timber,5,7,7,7,7,6,6,6,6,6,6,7,7,5,5
1024,1990,Prestressed Concrete,8,6,6,6,6,6,6,6,6,7,7,7,7,7,7
1025,1969,Steel Continuous,5,8,8,8,8,8,8,8,8,7,7,7,7,7,7
1027,2008,Prestressed Concrete,6,6,6,7,7,7,7,7,7,8,8,8,8,8,8
1030,1993,Prestressed Concrete,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
1031,1991,Prestressed Concrete,8,8,8,8,8,8,8,8,8,8,8,8,7,7,7
1068,1934,Concrete continuous,5,5,5,5,5,5,5,5,5,7,7,6,6,6,6
1069,1950,Concrete,7,7,7,7,7,7,7,8,8,7,7,7,7,7,7
1075,1971,Steel,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
1078,1962,Steel Continuous,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6
1080,1969,Prestressed Concrete,8,7,7,7,7,7,7,7,7,7,7,7,7,6,6
1081,1973,Prestressed Concrete,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
1089,1998,Prestressed Concrete,8,8,8,8,8,8,8,8,8,8,8,8,8,7,7
1092,1967,Steel,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
1094,1966,Steel Continuous,7,7,7,7,7,7,7,7,6,6,7,7,8,8,7
1098,1979,Steel,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1112,1961,Wood or Timber,7,7,7,7,7,7,7,7,7,7,6,6,6,6,6
1127,1978,Prestressed Concrete,6,6,6,6,6,6,6,6,5,5,5,5,5,5,5
1131,1967,Prestressed Concrete Continuous,7,7,7,6,6,6,6,6,6,6,6,6,6,6,6
1132,1967,Prestressed Concrete Continuous,7,7,7,6,6,6,6,6,6,6,6,6,6,6,6
1133,1967,Prestressed Concrete,6,6,6,5,5,5,5,6,6,6,6,5,5,5,5
1136,1991,Steel,8,4,4,4,4,9,9,8,8,7,7,7,7,6,6
1140,2017,Prestressed Concrete,7,7,7,7,7,7,7,7,7,7,7,9,9,9,9
1141,1969,Steel,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5
1142,1969,Steel,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
1143,1970,Steel,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
1144,1971,Steel,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
1145,1971,Steel,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
1146,1971,Steel,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
1147,1970,Steel Continuous,6,6,8,8,8,8,7,7,7,7,7,7,7,7,7
1149,1974,Steel Continuous,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
1152,1981,Prestressed Concrete,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
1153,1968,Steel,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
1155,1969,Steel Continuous,6,6,6,6,6,6,6,6,6,6,6,5,5,5,5
1157,2013,Prestressed Concrete,6,6,6,6,6,6,6,9,9,9,9,9,9,9,9
1160,2013,Prestressed Concrete,6,6,6,6,6,6,6,9,9,9,9,9,9,9,9
1161,1975,Prestressed Concrete,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7
1179,2004,Prestressed Concrete,9,9,9,9,9,9,7,7,7,7,7,7,7,7,7
1184,1996,Steel,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
1185,2014,Steel,5,5,5,5,5,5,5,5,9,9,8,8,8,8,8
1187,1973,Steel Continuous,5,5,6,6,6,6,6,6,6,6,7,7,7,7,7
1188,1973,Prestressed Concrete,8,8,8,8,8,8,8,8,8,8,8,7,7,7,7
1189,1986,Steel Continuous,6,6,6,6,4,4,4,4,5,5,5,5,5,5,5
1190,1971,Steel,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1191,1977,Prestressed Concrete,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
1192,1991,Prestressed Concrete,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
1193,1973,Steel,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1194,1991,Steel,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1195,2016,Prestressed Concrete,6,6,6,6,6,6,6,6,6,5,9,9,9,9,9
1196,1985,Prestressed Concrete,8,8,7,7,7,7,7,7,6,6,7,7,7,7,7
1197,1973,Prestressed Concrete,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
1199,1968,Steel,7,7,7,7,7,6,6,6,6,6,6,6,6,7,7
1200,1969,Steel,7,7,7,7,7,7,7,7,7,7,7,7,7,7,5
1201,1980,Wood or Timber,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
1203,2005,Prestressed Concrete,9,9,9,9,9,9,9,8,8,8,8,7,7,7,7
1204,2005,Prestressed Concrete,9,9,9,9,9,9,9,9,9,8,8,8,8,8,8
1205,2005,Prestressed Concrete,9,9,9,9,9,9,9,9,9,8,8,7,7,7,7
1207,2006,Prestressed Concrete,9,9,9,9,9,9,9,9,9,8,8,7,7,7,7
1208,2006,Prestressed Concrete,9,9,9,9,9,9,9,8,8,8,8,7,7,7,7
1209,1980,Wood or Timber,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1213,1982,Prestressed Concrete,7,7,7,7,7,7,7,7,7,7,7,7,5,5,5
1214,1999,Prestressed Concrete,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
1216,2017,Prestressed Concrete,7,7,7,7,7,7,7,7,5,5,5,9,9,9,8
1217,1965,Wood or Timber,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7
1220,1971,Concrete continuous,9,9,9,9,9,9,9,9,9,9,9,9,7,7,7
1221,1977,Prestressed Concrete,8,8,8,8,8,8,8,8,8,8,8,7,7,7,7
1222,1978,Prestressed Concrete,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
1228,1974,Steel Continuous,7,7,7,7,7,7,7,7,6,6,8,8,7,7,7
1229,1974,Steel Continuous,7,7,7,7,7,7,7,7,6,6,7,7,7,7,7
1230,1977,Prestressed Concrete,8,8,8,8,8,8,8,6,6,6,6,6,6,6,6
1234,1975,Wood or Timber,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7
1235,1983,Steel,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8
1238,2013,Prestressed Concrete,2,2,2,2,2,2,2,9,9,8,8,8,8,8,8
1241,1973,Steel Continuous,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6
1242,1971,Steel,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
1244,1985,Prestressed Concrete,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
1248,1985,Prestressed Concrete,8,8,8,8,8,8,8,8,8,8,8,7,7,6,6
1250,2016,Prestressed Concrete,7,7,7,7,7,6,6,5,5,5,9,9,9,9,9
1253,1995,Steel,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
1266,1977,Steel,6,6,6,6,6,6,6,6,6,7,7,7,7,6,6
1269,1999,Prestressed Concrete,8,8,8,8,8,8,8,8,8,8,8,8,8,7,7
1273,1973,Prestressed Concrete,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6
1274,1972,Wood or Timber,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7
1276,1976,Wood or Timber,6,6,6,6,6,6,6,6,5,5,7,7,6,6,6
1279,1993,Prestressed Concrete,8,8,8,8,7,7,7,7,7,7,7,7,6,6,6
1291,1985,Wood or Timber,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8
1295,1995,Prestressed Concrete,8,8,8,8,8,8,8,8,8,6,6,6,6,7,7
1298,2006,Steel,6,9,8,8,8,8,8,8,8,8,8,8,8,8,8
1303,2002,Prestressed Concrete,9,9,9,9,9,9,8,8,8,8,8,8,8,8,8
1304,1976,Steel,7,7,7,7,7,7,7,7,6,6,7,7,7,7,7
1308,2000,Steel Continuous,6,6,6,6,6,6,6,6,5,5,5,5,5,5,5
1320,1980,Prestressed Concrete,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6
1321,1981,Steel,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
1322,2017,Prestressed Concrete,6,6,6,6,6,6,6,6,6,6,6,9,9,8,8
1323,1974,Prestressed Concrete,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7
1324,1974,Prestressed Concrete,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1325,1976,Prestressed Concrete,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1326,1974,Prestressed Concrete,8,8,8,8,8,8,8,7,7,7,7,7,7,7,7
1328,1974,Prestressed Concrete,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7
1329,1975,Prestressed Concrete,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7
1333,2000,Prestressed Concrete,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
1341,1974,Prestressed Concrete,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
1342,1978,Prestressed Concrete,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7
1343,1976,Prestressed Concrete,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7
1344,1977,Steel Continuous,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
1349,1978,Wood or Timber,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1350,2012,Prestressed Concrete,6,6,6,6,6,6,9,9,9,9,9,9,9,9,6
1355,1976,Prestressed Concrete,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7
1356,1976,Prestressed Concrete,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
1360,1998,Prestressed Concrete,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
1362,1998,Prestressed Concrete,8,8,8,8,8,8,8,7,7,7,7,7,7,8,8
1363,1998,Prestressed Concrete,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
1364,1977,Prestressed Concrete,5,5,5,5,5,5,6,6,7,7,7,7,6,6,6
1365,2002,Prestressed Concrete,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
1367,1981,Prestressed Concrete,8,8,8,8,8,8,8,8,8,8,8,8,8,6,6
1368,1977,Prestressed Concrete,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
1369,1977,Prestressed Concrete,8,8,8,8,8,8,8,8,8,7,7,7,7,7,7
1374,1978,Prestressed Concrete,6,6,6,6,6,6,6,4,4,4,4,4,4,4,4
1375,1985,Prestressed Concrete,8,8,8,8,8,8,8,8,8,8,8,7,7,7,7
1378,1980,Prestressed Concrete,8,8,8,7,7,7,7,8,8,8,8,8,8,8,8
1380,1978,Prestressed Concrete,8,8,8,7,7,7,7,7,7,7,7,7,7,7,7
1383,1980,Prestressed Concrete,8,8,8,8,8,8,8,7,7,7,7,6,6,6,6
1384,1980,Prestressed Concrete,8,8,8,8,8,8,8,7,7,7,7,7,7,7,7
1386,2008,Prestressed Concrete,7,7,9,9,9,9,9,9,8,8,8,8,8,8,8
1389,1992,Prestressed Concrete,8,8,8,8,8,8,8,8,8,7,7,7,7,7,7
1391,1990,Prestressed Concrete,8,8,8,6,6,6,6,6,6,6,6,6,6,6,6
1392,1990,Prestressed Concrete,8,8,8,6,6,6,6,6,6,6,6,6,6,6,6
1394,1978,Wood or Timber,8,8,8,8,8,8,8,8,8,8,6,6,7,7,8
1400,2002,Prestressed Concrete,9,9,9,9,9,9,8,8,8,8,8,8,8,8,8
1407,1983,Prestressed Concrete,6,6,7,7,6,6,5,5,5,5,6,6,6,6,6
1409,1973,Wood or Timber,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
1414,1978,Steel,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1415,2002,Prestressed Concrete,8,7,7,7,7,7,7,7,7,7,7,7,7,7,7
1417,2010,Steel,6,6,6,6,9,9,9,9,9,8,8,8,8,8,8
1423,1967,Steel,7,6,6,6,6,6,6,6,6,6,6,6,6,6,4
1424,2005,Steel,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6
1425,2016,Prestressed Concrete,7,7,7,7,7,7,6,6,6,6,9,9,9,9,8
1426,2012,Steel,1,1,2,2,2,2,9,9,9,9,9,9,9,9,9
1429,2004,Steel,9,9,6,6,6,6,6,6,7,7,7,7,7,7,7
1432,1991,Prestressed Concrete,8,8,8,8,8,8,8,8,8,8,8,8,8,7,7
1433,1985,Prestressed Concrete,8,8,8,8,8,8,8,7,7,7,7,7,7,6,6
1434,1979,Wood or Timber,8,8,8,8,8,8,8,8,8,8,7,7,7,7,7
1438,2003,Prestressed Concrete,6,6,6,6,6,6,8,8,8,8,8,8,8,8,8
1439,2000,Prestressed Concrete,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
1441,1983,Prestressed Concrete,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
1442,1982,Prestressed Concrete,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
1443,1985,Prestressed Concrete,8,8,8,8,8,8,8,8,8,8,8,7,7,7,7
1444,1981,Prestressed Concrete,8,8,8,8,8,8,8,8,8,8,8,8,8,7,7
